,incident_nb,quarter,Crime_nb,CATEGORIE_Infractions entrainant la mort,CATEGORIE_Introduction,CATEGORIE_Méfait,CATEGORIE_Vol dans / sur véhicule à moteur,CATEGORIE_Vol de véhicule à moteur,CATEGORIE_Vols qualifiés,Grid,Caserne,Count,Avg_ETAGE_HORS,Avg_ANNEE_CONS,Mode_CATEGORIE_LIBELLE_UT_Autres activités d'impression commerciale-Régulier,Mode_CATEGORIE_LIBELLE_UT_Immeuble commercial-Régulier,Mode_CATEGORIE_LIBELLE_UT_Logement-Condominium,Mode_CATEGORIE_LIBELLE_UT_Logement-Régulier,"Mode_CATEGORIE_LIBELLE_UT_Service de garderie (prématernelle, moins de 50 % de poupons)-Régulier",Avg_Pop__Densi,Avg_Income___T,Avg_Income___2,Avg_Income___3,Avg_Housing___,Avg_Education_
0,12,2015 Q1,11,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
1,12,2015 Q1,2,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
2,12,2015 Q1,3,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
3,12,2015 Q1,1,0,0,0,0,0,1,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
4,10,2015 Q2,6,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
5,10,2015 Q2,4,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
6,10,2015 Q2,9,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
7,10,2015 Q2,1,0,0,0,0,0,1,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
8,9,2015 Q3,6,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
9,9,2015 Q3,3,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
10,9,2015 Q3,6,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
11,13,2015 Q4,6,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
12,13,2015 Q4,2,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
13,13,2015 Q4,2,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
14,13,2015 Q4,1,0,0,0,0,1,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
15,13,2015 Q4,1,0,0,0,0,0,1,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
16,5,2016 Q1,2,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
17,5,2016 Q1,5,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
18,5,2016 Q1,1,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
19,6,2016 Q2,1,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
20,6,2016 Q2,6,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
21,6,2016 Q2,2,0,0,0,0,1,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
22,17,2016 Q3,4,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
23,17,2016 Q3,1,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
24,17,2016 Q3,3,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
25,17,2016 Q3,1,0,0,0,0,1,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
26,17,2016 Q3,1,0,0,0,0,0,1,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
27,10,2016 Q4,3,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
28,10,2016 Q4,1,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
29,10,2016 Q4,3,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
30,10,2016 Q4,3,0,0,0,0,1,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
31,10,2016 Q4,3,0,0,0,0,0,1,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
32,9,2017 Q1,6,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
33,9,2017 Q1,4,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
34,9,2017 Q1,2,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
35,9,2017 Q1,1,0,0,0,0,1,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
36,9,2017 Q1,1,0,0,0,0,0,1,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
37,10,2017 Q2,6,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
38,10,2017 Q2,5,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
39,10,2017 Q2,2,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
40,10,2017 Q2,1,0,0,0,0,1,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
41,13,2017 Q3,4,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
42,13,2017 Q3,4,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
43,13,2017 Q3,3,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
44,13,2017 Q3,1,0,0,0,0,0,1,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
45,12,2017 Q4,9,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
46,12,2017 Q4,3,0,0,1,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
47,12,2017 Q4,4,0,0,0,1,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
48,12,2017 Q4,1,0,0,0,0,0,1,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
49,11,2018 Q1,5,0,1,0,0,0,0,Caserne 03 Grid0_1,Caserne 03,7,4,1985,0,0,1,0,0,11581.67,675,100,67.62,399,676.5
