Key,year,quarter,CentroidX,CentroidY,Avg_Pop__Densi,Avg_Income___T,Avg_Income___2,Avg_Income___3,Avg_Housing___,Avg_Education_,Crime_Count,Quarterly_Fire_Count
Caserne 03 Grid0_0,2015,1,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,6.0,32
Caserne 03 Grid0_0,2015,2,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,7.0,51
Caserne 03 Grid0_0,2015,3,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,58
Caserne 03 Grid0_0,2015,4,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,6.0,35
Caserne 03 Grid0_0,2016,1,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,10.0,48
Caserne 03 Grid0_0,2016,2,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,4.0,49
Caserne 03 Grid0_0,2016,3,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,8.0,52
Caserne 03 Grid0_0,2016,4,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,4.0,38
Caserne 03 Grid0_0,2017,1,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,6.0,47
Caserne 03 Grid0_0,2017,2,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,50
Caserne 03 Grid0_0,2017,3,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,10.0,62
Caserne 03 Grid0_0,2017,4,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,3.0,41
Caserne 03 Grid0_0,2018,1,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,2.0,55
Caserne 03 Grid0_0,2018,2,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,2.0,39
Caserne 03 Grid0_0,2018,3,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,50
Caserne 03 Grid0_0,2018,4,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,2.0,46
Caserne 03 Grid0_0,2019,1,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,36
Caserne 03 Grid0_0,2019,2,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,41
Caserne 03 Grid0_0,2019,3,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,5.0,64
Caserne 03 Grid0_0,2019,4,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,3.0,51
Caserne 03 Grid0_0,2020,1,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,12.0,62
Caserne 03 Grid0_0,2020,2,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,20.0,10
Caserne 03 Grid0_0,2020,3,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,6.0,26
Caserne 03 Grid0_0,2020,4,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,4.0,27
Caserne 03 Grid0_0,2021,1,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,2.0,43
Caserne 03 Grid0_0,2021,2,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,2.0,25
Caserne 03 Grid0_0,2021,3,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,9.0,36
Caserne 03 Grid0_0,2021,4,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,4.0,39
Caserne 03 Grid0_0,2022,1,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,4.0,38
Caserne 03 Grid0_0,2022,2,-73.564826,45.490541,11430.1071428571,898.214285714286,100.0,71.55,561.785714285714,890.714285714286,3.0,36
