NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Key,GEO_UID,DA_NAME,Population,Pop__Densi,Appart_in_,Income___T,Income___2,Income___3,Housing___,Education_,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID
Caserne 72,72,296,19.753885,-73.703564,45.496774,Grid0_0,Caserne 72 Grid0_0,24662984,2984,703,694.2,0,580,100,64.3,195,540,24662984,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620288.00,0288.00,24660148
Caserne 72,72,296,19.753885,-73.703564,45.496774,Grid0_0,Caserne 72 Grid0_0,24662467,2467,387,2391.8,0,315,100,64.1,150,350,24662467,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620416.01,0416.01,24660154
Caserne 72,72,296,19.753885,-73.703564,45.496774,Grid0_0,Caserne 72 Grid0_0,24662469,2469,441,3556.5,0,355,100,68.1,145,340,24662469,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620416.01,0416.01,24660154
Caserne 72,72,296,19.753885,-73.703564,45.496774,Grid0_0,Caserne 72 Grid0_0,24662468,2468,517,4822.8,0,440,100,71,175,385,24662468,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620416.01,0416.01,24660154
Caserne 72,72,296,19.753885,-73.703564,45.496774,Grid0_0,Caserne 72 Grid0_0,24662471,2471,539,7373.5,0,465,100,65.4,230,550,24662471,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620287.02,0287.02,24660148
Caserne 72,72,296,19.753885,-73.703564,45.496774,Grid0_0,Caserne 72 Grid0_0,24662495,2495,606,9017.9,0,525,100,60.2,200,510,24662495,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620416.01,0416.01,24660154
Caserne 72,72,296,19.753885,-73.703564,45.496774,Grid0_0,Caserne 72 Grid0_0,24662496,2496,368,8538.3,0,315,100,67.7,115,340,24662496,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620416.01,0416.01,24660154
Caserne 72,72,296,19.753885,-73.703564,45.496774,Grid0_0,Caserne 72 Grid0_0,24662493,2493,863,1490.8,0,680,100,64.5,305,695,24662493,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620416.02,0416.02,24660154
Caserne 72,72,296,19.753885,-73.703564,45.496774,Grid0_0,Caserne 72 Grid0_0,24662498,2498,424,6698.3,0,350,100,74.4,140,345,24662498,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620416.01,0416.01,24660154
Caserne 32,32,298,4.694685,-73.493739,45.695478,Grid0_0,Caserne 32 Grid0_0,24662936,2936,1626,292.8,20,1255,100,81.6,595,1320,24662936,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620291.03,0291.03,24660002
