Key,Sum_Population,Sum_Pop__Densi,Sum_Income___T,Sum_Housing___,Sum_Education_
Caserne 03 Grid0_0,15242,160021.5,12575,7865,12470
Caserne 03 Grid0_1,8131,115816.7,6750,3990,6765
Caserne 03 Grid1_0,6405,20957.9,5645,3855,5620
Caserne 03 Grid1_1,2713,9755.2,2410,1580,2425
Caserne 03 Grid2_0,0,0,,,
Caserne 04 Grid0_1,3501,1718.7,2975,1685,2850
Caserne 04 Grid0_2,4208,2876,3520,1920,3390
Caserne 04 Grid1_0,7376,27194.5,6195,3355,6060
Caserne 04 Grid1_1,5980,18532.9,4995,2715,4810
Caserne 04 Grid1_2,5114,26583.7,4355,2265,4260
Caserne 04 Grid2_0,15836,313872.8,12705,6310,12690
Caserne 04 Grid2_1,15579,298437.5,12490,6195,12515
Caserne 04 Grid2_2,2532,49270.4,2025,955,2135
Caserne 04 Grid3_0,9945,353924.9,7995,3565,7975
Caserne 04 Grid3_1,16415,496878.6,13195,6560,13370
Caserne 04 Grid3_2,6229,152723.1,5320,2885,5230
Caserne 04 Grid4_1,1298,25218.6,1080,525,1070
Caserne 05 Grid0_0,7975,171743.1,7185,4715,7290
Caserne 05 Grid0_1,9163,85570.1,8090,5335,8335
Caserne 05 Grid0_2,2492,3006,2300,1535,2430
Caserne 05 Grid1_0,4828,111842.6,4415,2980,4435
Caserne 05 Grid1_1,2081,29325.7,1625,1110,1565
Caserne 08 Grid0_0,1265,594.8,1045,525,970
Caserne 08 Grid0_1,2824,1544.4,2345,1070,2260
Caserne 08 Grid0_2,1483,210.2,1205,580,1160
Caserne 08 Grid1_0,3338,1308.6,2090,985,1990
Caserne 08 Grid1_1,619,73,485,260,450
Caserne 08 Grid1_2,2332,1064.1,1855,950,1800
Caserne 08 Grid2_0,1321,246.3,875,425,830
Caserne 08 Grid2_1,619,73,485,260,450
Caserne 08 Grid2_2,619,73,485,260,450
Caserne 08 Grid2_3,4679,6145.5,3480,1810,3365
Caserne 08 Grid3_0,1321,246.3,875,425,830
Caserne 08 Grid3_1,2193,585.3,1585,790,1590
Caserne 08 Grid3_2,1491,412,1195,625,1210
Caserne 08 Grid3_3,5881,22460.3,4520,2360,4435
Caserne 08 Grid4_1,4392,22916.7,3445,1745,3400
Caserne 08 Grid4_2,1747,5808.4,1440,790,1475
Caserne 08 Grid4_3,1845,9804.4,1510,855,1515
Caserne 08 Grid4_4,2743,19988.2,2275,1320,2315
Caserne 08 Grid5_1,4766,33919.3,3845,2280,3890
Caserne 08 Grid5_2,2158,8804,1745,975,1800
Caserne 08 Grid5_3,367,474.3,300,195,295
Caserne 08 Grid6_1,367,474.3,300,195,295
Caserne 09 Grid0_0,1137,3264.9,885,415,965
Caserne 09 Grid0_1,9993,177151.7,7955,4025,8100
Caserne 09 Grid0_2,7055,80437.1,5575,2935,5550
Caserne 09 Grid1_0,8858,214483,6810,3450,6805
Caserne 09 Grid1_1,15649,420372.4,12295,5945,12400
Caserne 09 Grid1_2,3858,52854.4,3125,1535,3080
Caserne 09 Grid1_3,2407,21003.4,2005,1125,2085
Caserne 09 Grid2_0,10296,262910.1,7780,3905,7805
Caserne 09 Grid2_1,9554,227027.8,7295,3495,7235
Caserne 09 Grid2_2,9528,134186.7,7535,3775,7425
Caserne 09 Grid2_3,4182,54796.5,3465,1795,3365
Caserne 09 Grid3_0,1056,36424.8,765,335,735
Caserne 09 Grid3_1,11178,160055.4,8765,4405,8530
Caserne 09 Grid3_2,17964,311207.1,14390,7665,14315
