incident_nb,quarter,Key,Right_Key,Crime_nb,Right_quarter,CATEGORIE
18,2015 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2015 Q1,Introduction
18,2015 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2015 Q1,Méfait
18,2015 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2015 Q1,Vol dans / sur véhicule à moteur
18,2015 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2015 Q1,Vol de véhicule à moteur
7,2015 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2015 Q2,Introduction
7,2015 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2015 Q2,Méfait
7,2015 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2015 Q2,Vol dans / sur véhicule à moteur
7,2015 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2015 Q2,Vols qualifiés
10,2015 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,4,2015 Q3,Introduction
10,2015 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2015 Q3,Méfait
9,2015 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2015 Q4,Introduction
9,2015 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,3,2015 Q4,Méfait
9,2015 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2015 Q4,Vol de véhicule à moteur
9,2016 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,3,2016 Q1,Introduction
9,2016 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,3,2016 Q1,Méfait
9,2016 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,4,2016 Q1,Vol dans / sur véhicule à moteur
7,2016 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2016 Q2,Introduction
7,2016 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2016 Q2,Méfait
7,2016 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2016 Q2,Vol dans / sur véhicule à moteur
4,2016 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2016 Q3,Introduction
4,2016 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,4,2016 Q3,Méfait
4,2016 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2016 Q3,Vol dans / sur véhicule à moteur
4,2016 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2016 Q3,Vols qualifiés
4,2016 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2016 Q4,Introduction
4,2016 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2016 Q4,Méfait
4,2016 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2016 Q4,Vols qualifiés
10,2017 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q1,Introduction
10,2017 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q1,Méfait
10,2017 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2017 Q1,Vol dans / sur véhicule à moteur
10,2017 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q1,Vol de véhicule à moteur
10,2017 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q1,Vols qualifiés
8,2017 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q2,Introduction
8,2017 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,3,2017 Q2,Méfait
8,2017 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q2,Vol dans / sur véhicule à moteur
13,2017 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,4,2017 Q3,Introduction
13,2017 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2017 Q3,Méfait
13,2017 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q3,Vol dans / sur véhicule à moteur
13,2017 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2017 Q3,Vol de véhicule à moteur
13,2017 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q3,Vols qualifiés
13,2017 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q4,Introduction
13,2017 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q4,Vol dans / sur véhicule à moteur
13,2017 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2017 Q4,Vols qualifiés
11,2018 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2018 Q1,Introduction
11,2018 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2018 Q1,Vol de véhicule à moteur
4,2018 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2018 Q2,Introduction
4,2018 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2018 Q2,Méfait
18,2018 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,4,2018 Q3,Introduction
18,2018 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2018 Q3,Vol dans / sur véhicule à moteur
7,2018 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2018 Q4,Introduction
10,2019 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2019 Q1,Introduction
10,2019 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2019 Q1,Méfait
10,2019 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2019 Q1,Vol dans / sur véhicule à moteur
10,2019 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2019 Q1,Vols qualifiés
11,2019 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,3,2019 Q2,Introduction
11,2019 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2019 Q2,Méfait
11,2019 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,1,2019 Q2,Vol dans / sur véhicule à moteur
9,2019 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2019 Q3,Introduction
9,2019 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,3,2019 Q3,Vol dans / sur véhicule à moteur
15,2019 Q4,Caserne 03 Grid0_0,Caserne 03 Grid0_0,3,2019 Q4,Introduction
7,2020 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2020 Q1,Introduction
7,2020 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,5,2020 Q1,Méfait
7,2020 Q1,Caserne 03 Grid0_0,Caserne 03 Grid0_0,5,2020 Q1,Vol dans / sur véhicule à moteur
13,2020 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,9,2020 Q2,Introduction
13,2020 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,4,2020 Q2,Méfait
13,2020 Q2,Caserne 03 Grid0_0,Caserne 03 Grid0_0,7,2020 Q2,Vol dans / sur véhicule à moteur
8,2020 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,2,2020 Q3,Introduction
8,2020 Q3,Caserne 03 Grid0_0,Caserne 03 Grid0_0,4,2020 Q3,Méfait
