Key,Count,quarter
Caserne 03 Grid0_0,6,2015 Q1
Caserne 03 Grid0_0,7,2015 Q2
Caserne 03 Grid0_0,5,2015 Q3
Caserne 03 Grid0_0,6,2015 Q4
Caserne 03 Grid0_0,10,2016 Q1
Caserne 03 Grid0_0,4,2016 Q2
Caserne 03 Grid0_0,8,2016 Q3
Caserne 03 Grid0_0,4,2016 Q4
Caserne 03 Grid0_0,6,2017 Q1
Caserne 03 Grid0_0,5,2017 Q2
Caserne 03 Grid0_0,10,2017 Q3
Caserne 03 Grid0_0,3,2017 Q4
Caserne 03 Grid0_0,2,2018 Q1
Caserne 03 Grid0_0,2,2018 Q2
Caserne 03 Grid0_0,5,2018 Q3
Caserne 03 Grid0_0,2,2018 Q4
Caserne 03 Grid0_0,5,2019 Q1
Caserne 03 Grid0_0,5,2019 Q2
Caserne 03 Grid0_0,5,2019 Q3
Caserne 03 Grid0_0,3,2019 Q4
Caserne 03 Grid0_0,12,2020 Q1
Caserne 03 Grid0_0,20,2020 Q2
Caserne 03 Grid0_0,6,2020 Q3
Caserne 03 Grid0_0,4,2020 Q4
Caserne 03 Grid0_0,2,2021 Q1
Caserne 03 Grid0_0,2,2021 Q2
Caserne 03 Grid0_0,9,2021 Q3
Caserne 03 Grid0_0,4,2021 Q4
Caserne 03 Grid0_0,4,2022 Q1
Caserne 03 Grid0_0,3,2022 Q2
Caserne 03 Grid0_1,17,2015 Q1
Caserne 03 Grid0_1,20,2015 Q2
Caserne 03 Grid0_1,15,2015 Q3
Caserne 03 Grid0_1,12,2015 Q4
Caserne 03 Grid0_1,8,2016 Q1
Caserne 03 Grid0_1,9,2016 Q2
Caserne 03 Grid0_1,10,2016 Q3
Caserne 03 Grid0_1,13,2016 Q4
Caserne 03 Grid0_1,14,2017 Q1
Caserne 03 Grid0_1,14,2017 Q2
Caserne 03 Grid0_1,12,2017 Q3
Caserne 03 Grid0_1,17,2017 Q4
Caserne 03 Grid0_1,8,2018 Q1
Caserne 03 Grid0_1,16,2018 Q2
Caserne 03 Grid0_1,13,2018 Q3
Caserne 03 Grid0_1,10,2018 Q4
Caserne 03 Grid0_1,13,2019 Q1
Caserne 03 Grid0_1,13,2019 Q2
Caserne 03 Grid0_1,8,2019 Q3
Caserne 03 Grid0_1,7,2019 Q4
Caserne 03 Grid0_1,21,2020 Q1
Caserne 03 Grid0_1,12,2020 Q2
Caserne 03 Grid0_1,17,2020 Q3
Caserne 03 Grid0_1,17,2020 Q4
Caserne 03 Grid0_1,12,2021 Q1
Caserne 03 Grid0_1,8,2021 Q2
Caserne 03 Grid0_1,16,2021 Q3
Caserne 03 Grid0_1,12,2021 Q4
Caserne 03 Grid0_1,8,2022 Q1
Caserne 03 Grid0_1,13,2022 Q2
Caserne 03 Grid1_0,16,2015 Q1
Caserne 03 Grid1_0,21,2015 Q2
Caserne 03 Grid1_0,15,2015 Q3
Caserne 03 Grid1_0,7,2015 Q4
Caserne 03 Grid1_0,4,2016 Q1
Caserne 03 Grid1_0,14,2016 Q2
Caserne 03 Grid1_0,12,2016 Q3
Caserne 03 Grid1_0,14,2016 Q4
Caserne 03 Grid1_0,11,2017 Q1
Caserne 03 Grid1_0,8,2017 Q2
Caserne 03 Grid1_0,11,2017 Q3
Caserne 03 Grid1_0,23,2017 Q4
Caserne 03 Grid1_0,16,2018 Q1
Caserne 03 Grid1_0,15,2018 Q2
Caserne 03 Grid1_0,8,2018 Q3
Caserne 03 Grid1_0,11,2018 Q4
Caserne 03 Grid1_0,11,2019 Q1
Caserne 03 Grid1_0,11,2019 Q2
Caserne 03 Grid1_0,30,2019 Q3
Caserne 03 Grid1_0,13,2019 Q4
Caserne 03 Grid1_0,5,2020 Q1
Caserne 03 Grid1_0,18,2020 Q2
Caserne 03 Grid1_0,10,2020 Q3
Caserne 03 Grid1_0,20,2020 Q4
Caserne 03 Grid1_0,8,2021 Q1
Caserne 03 Grid1_0,17,2021 Q2
Caserne 03 Grid1_0,14,2021 Q3
Caserne 03 Grid1_0,10,2021 Q4
Caserne 03 Grid1_0,10,2022 Q1
Caserne 03 Grid1_0,37,2022 Q2
Caserne 04 Grid0_1,1,2016 Q3
Caserne 04 Grid0_1,3,2016 Q4
Caserne 04 Grid0_1,1,2019 Q4
Caserne 04 Grid0_1,1,2020 Q3
Caserne 04 Grid0_1,1,2021 Q3
Caserne 04 Grid0_1,1,2022 Q1
Caserne 04 Grid0_1,1,2022 Q2
Caserne 04 Grid1_0,10,2015 Q1
Caserne 04 Grid1_0,14,2015 Q2
Caserne 04 Grid1_0,17,2015 Q3
Caserne 04 Grid1_0,8,2015 Q4
Caserne 04 Grid1_0,13,2016 Q1
Caserne 04 Grid1_0,15,2016 Q2
Caserne 04 Grid1_0,10,2016 Q3
Caserne 04 Grid1_0,8,2016 Q4
Caserne 04 Grid1_0,16,2017 Q1
Caserne 04 Grid1_0,14,2017 Q2
Caserne 04 Grid1_0,13,2017 Q3
Caserne 04 Grid1_0,18,2017 Q4
Caserne 04 Grid1_0,12,2018 Q1
Caserne 04 Grid1_0,13,2018 Q2
Caserne 04 Grid1_0,7,2018 Q3
Caserne 04 Grid1_0,12,2018 Q4
Caserne 04 Grid1_0,13,2019 Q1
Caserne 04 Grid1_0,12,2019 Q2
Caserne 04 Grid1_0,13,2019 Q3
Caserne 04 Grid1_0,8,2019 Q4
Caserne 04 Grid1_0,13,2020 Q1
Caserne 04 Grid1_0,9,2020 Q2
Caserne 04 Grid1_0,8,2020 Q3
Caserne 04 Grid1_0,10,2020 Q4
Caserne 04 Grid1_0,2,2021 Q1
Caserne 04 Grid1_0,1,2021 Q2
Caserne 04 Grid1_0,4,2021 Q3
Caserne 04 Grid1_0,17,2021 Q4
Caserne 04 Grid1_0,9,2022 Q1
Caserne 04 Grid1_0,7,2022 Q2
Caserne 04 Grid1_1,6,2015 Q1
Caserne 04 Grid1_1,9,2015 Q2
Caserne 04 Grid1_1,5,2015 Q3
Caserne 04 Grid1_1,6,2015 Q4
Caserne 04 Grid1_1,2,2016 Q1
Caserne 04 Grid1_1,5,2016 Q2
Caserne 04 Grid1_1,2,2016 Q3
Caserne 04 Grid1_1,6,2016 Q4
Caserne 04 Grid1_1,7,2017 Q1
Caserne 04 Grid1_1,6,2017 Q2
Caserne 04 Grid1_1,3,2017 Q3
Caserne 04 Grid1_1,12,2017 Q4
Caserne 04 Grid1_1,12,2018 Q1
Caserne 04 Grid1_1,9,2018 Q2
Caserne 04 Grid1_1,5,2018 Q3
Caserne 04 Grid1_1,2,2018 Q4
Caserne 04 Grid1_1,3,2019 Q1
Caserne 04 Grid1_1,3,2019 Q2
Caserne 04 Grid1_1,5,2019 Q3
Caserne 04 Grid1_1,4,2019 Q4
Caserne 04 Grid1_1,6,2020 Q1
Caserne 04 Grid1_1,4,2020 Q2
Caserne 04 Grid1_1,6,2020 Q3
Caserne 04 Grid1_1,8,2020 Q4
Caserne 04 Grid1_1,4,2021 Q1
Caserne 04 Grid1_1,2,2021 Q2
Caserne 04 Grid1_1,3,2021 Q3
Caserne 04 Grid1_1,4,2021 Q4
Caserne 04 Grid1_1,3,2022 Q1
Caserne 04 Grid1_1,2,2022 Q2
Caserne 04 Grid2_0,27,2015 Q1
Caserne 04 Grid2_0,23,2015 Q2
Caserne 04 Grid2_0,10,2015 Q3
Caserne 04 Grid2_0,31,2015 Q4
Caserne 04 Grid2_0,23,2016 Q1
Caserne 04 Grid2_0,15,2016 Q2
Caserne 04 Grid2_0,10,2016 Q3
Caserne 04 Grid2_0,22,2016 Q4
Caserne 04 Grid2_0,20,2017 Q1
Caserne 04 Grid2_0,10,2017 Q2
Caserne 04 Grid2_0,15,2017 Q3
Caserne 04 Grid2_0,21,2017 Q4
Caserne 04 Grid2_0,6,2018 Q1
Caserne 04 Grid2_0,10,2018 Q2
Caserne 04 Grid2_0,12,2018 Q3
Caserne 04 Grid2_0,14,2018 Q4
Caserne 04 Grid2_0,11,2019 Q1
Caserne 04 Grid2_0,30,2019 Q2
Caserne 04 Grid2_0,12,2019 Q3
Caserne 04 Grid2_0,15,2019 Q4
Caserne 04 Grid2_0,24,2020 Q1
Caserne 04 Grid2_0,8,2020 Q2
Caserne 04 Grid2_0,19,2020 Q3
Caserne 04 Grid2_0,20,2020 Q4
