Key,incident_nb,DateTime_Out
Caserne 03 Grid0_0,44,2015-01-01
Caserne 03 Grid0_0,24,2016-01-01
Caserne 03 Grid0_0,44,2017-01-01
Caserne 03 Grid0_0,40,2018-01-01
Caserne 03 Grid0_0,45,2019-01-01
Caserne 03 Grid0_0,37,2020-01-01
Caserne 03 Grid0_0,32,2021-01-01
Caserne 03 Grid0_0,17,2022-01-01
Caserne 03 Grid0_1,44,2015-01-01
Caserne 03 Grid0_1,38,2016-01-01
Caserne 03 Grid0_1,44,2017-01-01
Caserne 03 Grid0_1,36,2018-01-01
Caserne 03 Grid0_1,43,2019-01-01
Caserne 03 Grid0_1,47,2020-01-01
Caserne 03 Grid0_1,52,2021-01-01
Caserne 03 Grid0_1,16,2022-01-01
Caserne 03 Grid1_0,77,2015-01-01
Caserne 03 Grid1_0,79,2016-01-01
Caserne 03 Grid1_0,80,2017-01-01
Caserne 03 Grid1_0,114,2018-01-01
Caserne 03 Grid1_0,113,2019-01-01
Caserne 03 Grid1_0,76,2020-01-01
Caserne 03 Grid1_0,113,2021-01-01
Caserne 03 Grid1_0,63,2022-01-01
Caserne 03 Grid1_1,2,2015-01-01
Caserne 03 Grid1_1,3,2016-01-01
Caserne 03 Grid1_1,3,2017-01-01
Caserne 03 Grid1_1,2,2018-01-01
Caserne 03 Grid1_1,6,2019-01-01
Caserne 03 Grid1_1,11,2020-01-01
Caserne 03 Grid1_1,6,2021-01-01
Caserne 03 Grid1_1,2,2022-01-01
Caserne 04 Grid0_1,4,2016-01-01
Caserne 04 Grid0_1,3,2017-01-01
Caserne 04 Grid0_1,1,2018-01-01
Caserne 04 Grid0_1,5,2019-01-01
Caserne 04 Grid0_1,6,2021-01-01
Caserne 04 Grid0_1,2,2022-01-01
Caserne 04 Grid0_2,1,2018-01-01
Caserne 04 Grid0_2,1,2021-01-01
Caserne 04 Grid1_0,42,2015-01-01
Caserne 04 Grid1_0,47,2016-01-01
Caserne 04 Grid1_0,51,2017-01-01
Caserne 04 Grid1_0,44,2018-01-01
Caserne 04 Grid1_0,52,2019-01-01
Caserne 04 Grid1_0,43,2020-01-01
Caserne 04 Grid1_0,47,2021-01-01
Caserne 04 Grid1_0,16,2022-01-01
Caserne 04 Grid1_1,5,2015-01-01
Caserne 04 Grid1_1,11,2016-01-01
Caserne 04 Grid1_1,12,2017-01-01
Caserne 04 Grid1_1,19,2018-01-01
Caserne 04 Grid1_1,16,2019-01-01
Caserne 04 Grid1_1,9,2020-01-01
Caserne 04 Grid1_1,7,2021-01-01
Caserne 04 Grid1_1,9,2022-01-01
Caserne 04 Grid1_2,1,2021-01-01
Caserne 04 Grid2_0,67,2015-01-01
Caserne 04 Grid2_0,63,2016-01-01
Caserne 04 Grid2_0,65,2017-01-01
Caserne 04 Grid2_0,82,2018-01-01
Caserne 04 Grid2_0,61,2019-01-01
Caserne 04 Grid2_0,49,2020-01-01
Caserne 04 Grid2_0,52,2021-01-01
Caserne 04 Grid2_0,28,2022-01-01
Caserne 04 Grid2_1,71,2015-01-01
Caserne 04 Grid2_1,59,2016-01-01
Caserne 04 Grid2_1,69,2017-01-01
Caserne 04 Grid2_1,71,2018-01-01
Caserne 04 Grid2_1,71,2019-01-01
Caserne 04 Grid2_1,54,2020-01-01
Caserne 04 Grid2_1,76,2021-01-01
Caserne 04 Grid2_1,24,2022-01-01
Caserne 04 Grid2_2,4,2015-01-01
Caserne 04 Grid2_2,1,2016-01-01
Caserne 04 Grid2_2,2,2017-01-01
Caserne 04 Grid2_2,1,2018-01-01
Caserne 04 Grid2_2,2,2019-01-01
Caserne 04 Grid2_2,3,2020-01-01
Caserne 04 Grid2_2,4,2021-01-01
Caserne 04 Grid2_2,1,2022-01-01
Caserne 04 Grid3_0,10,2015-01-01
Caserne 04 Grid3_0,16,2016-01-01
Caserne 04 Grid3_0,16,2017-01-01
Caserne 04 Grid3_0,12,2018-01-01
Caserne 04 Grid3_0,13,2019-01-01
Caserne 04 Grid3_0,24,2020-01-01
Caserne 04 Grid3_0,14,2021-01-01
Caserne 04 Grid3_0,5,2022-01-01
Caserne 04 Grid3_1,60,2015-01-01
Caserne 04 Grid3_1,85,2016-01-01
Caserne 04 Grid3_1,89,2017-01-01
Caserne 04 Grid3_1,74,2018-01-01
Caserne 04 Grid3_1,68,2019-01-01
Caserne 04 Grid3_1,66,2020-01-01
Caserne 04 Grid3_1,81,2021-01-01
Caserne 04 Grid3_1,33,2022-01-01
Caserne 04 Grid3_2,28,2015-01-01
Caserne 04 Grid3_2,29,2016-01-01
Caserne 04 Grid3_2,40,2017-01-01
Caserne 04 Grid3_2,33,2018-01-01
Caserne 04 Grid3_2,29,2019-01-01
Caserne 04 Grid3_2,27,2020-01-01
Caserne 04 Grid3_2,16,2021-01-01
Caserne 04 Grid3_2,13,2022-01-01
Caserne 04 Grid4_1,2,2015-01-01
Caserne 04 Grid4_1,1,2016-01-01
Caserne 04 Grid4_1,1,2017-01-01
Caserne 04 Grid4_1,2,2018-01-01
Caserne 04 Grid4_1,3,2021-01-01
Caserne 05 Grid0_0,124,2015-01-01
Caserne 05 Grid0_0,104,2016-01-01
Caserne 05 Grid0_0,117,2017-01-01
Caserne 05 Grid0_0,125,2018-01-01
Caserne 05 Grid0_0,132,2019-01-01
Caserne 05 Grid0_0,108,2020-01-01
Caserne 05 Grid0_0,103,2021-01-01
Caserne 05 Grid0_0,73,2022-01-01
Caserne 05 Grid0_1,180,2015-01-01
Caserne 05 Grid0_1,248,2016-01-01
Caserne 05 Grid0_1,181,2017-01-01
Caserne 05 Grid0_1,226,2018-01-01
Caserne 05 Grid0_1,220,2019-01-01
Caserne 05 Grid0_1,221,2020-01-01
Caserne 05 Grid0_1,187,2021-01-01
Caserne 05 Grid0_1,132,2022-01-01
Caserne 05 Grid0_2,4,2015-01-01
Caserne 05 Grid0_2,15,2016-01-01
Caserne 05 Grid0_2,10,2017-01-01
Caserne 05 Grid0_2,10,2018-01-01
Caserne 05 Grid0_2,17,2019-01-01
Caserne 05 Grid0_2,7,2020-01-01
Caserne 05 Grid0_2,8,2021-01-01
Caserne 05 Grid0_2,4,2022-01-01
Caserne 05 Grid1_0,52,2015-01-01
Caserne 05 Grid1_0,61,2016-01-01
Caserne 05 Grid1_0,32,2017-01-01
Caserne 05 Grid1_0,61,2018-01-01
Caserne 05 Grid1_0,53,2019-01-01
Caserne 05 Grid1_0,46,2020-01-01
Caserne 05 Grid1_0,45,2021-01-01
Caserne 05 Grid1_0,16,2022-01-01
Caserne 05 Grid1_1,8,2015-01-01
Caserne 05 Grid1_1,5,2016-01-01
Caserne 05 Grid1_1,12,2017-01-01
Caserne 05 Grid1_1,11,2018-01-01
Caserne 05 Grid1_1,7,2019-01-01
Caserne 05 Grid1_1,9,2020-01-01
Caserne 05 Grid1_1,9,2021-01-01
Caserne 05 Grid1_1,3,2022-01-01
Caserne 08 Grid0_0,2,2015-01-01
Caserne 08 Grid0_0,1,2016-01-01
Caserne 08 Grid0_0,3,2018-01-01
Caserne 08 Grid0_1,1,2015-01-01
Caserne 08 Grid0_1,3,2017-01-01
Caserne 08 Grid0_1,2,2018-01-01
Caserne 08 Grid0_1,3,2019-01-01
Caserne 08 Grid0_1,2,2020-01-01
Caserne 08 Grid0_1,2,2021-01-01
Caserne 08 Grid0_1,1,2022-01-01
Caserne 08 Grid1_0,2,2015-01-01
Caserne 08 Grid1_0,1,2016-01-01
Caserne 08 Grid1_0,2,2017-01-01
Caserne 08 Grid1_0,2,2018-01-01
Caserne 08 Grid1_0,1,2019-01-01
Caserne 08 Grid1_0,5,2020-01-01
Caserne 08 Grid1_0,2,2021-01-01
Caserne 08 Grid1_2,1,2016-01-01
Caserne 08 Grid1_2,3,2017-01-01
Caserne 08 Grid1_2,1,2018-01-01
Caserne 08 Grid1_2,2,2020-01-01
Caserne 08 Grid1_2,5,2021-01-01
