Key,incident_nb,DateTime_Out
Caserne 03 Grid0_0,1,2015-01-03
Caserne 03 Grid0_0,1,2015-01-04
Caserne 03 Grid0_0,1,2015-01-07
Caserne 03 Grid0_0,1,2015-01-10
Caserne 03 Grid0_0,1,2015-01-12
Caserne 03 Grid0_0,1,2015-01-17
Caserne 03 Grid0_0,1,2015-01-25
Caserne 03 Grid0_0,1,2015-02-04
Caserne 03 Grid0_0,2,2015-02-12
Caserne 03 Grid0_0,1,2015-02-16
Caserne 03 Grid0_0,1,2015-02-18
Caserne 03 Grid0_0,1,2015-02-24
Caserne 03 Grid0_0,1,2015-02-26
Caserne 03 Grid0_0,1,2015-03-17
Caserne 03 Grid0_0,1,2015-03-21
Caserne 03 Grid0_0,1,2015-03-23
Caserne 03 Grid0_0,1,2015-03-31
Caserne 03 Grid0_0,1,2015-04-20
Caserne 03 Grid0_0,1,2015-04-24
Caserne 03 Grid0_0,1,2015-04-30
Caserne 03 Grid0_0,1,2015-05-09
Caserne 03 Grid0_0,1,2015-05-24
Caserne 03 Grid0_0,1,2015-05-25
Caserne 03 Grid0_0,1,2015-06-30
Caserne 03 Grid0_0,1,2015-07-13
Caserne 03 Grid0_0,1,2015-07-30
Caserne 03 Grid0_0,1,2015-08-08
Caserne 03 Grid0_0,1,2015-09-06
Caserne 03 Grid0_0,1,2015-09-12
Caserne 03 Grid0_0,1,2015-09-15
Caserne 03 Grid0_0,1,2015-09-22
Caserne 03 Grid0_0,2,2015-09-24
Caserne 03 Grid0_0,1,2015-09-25
Caserne 03 Grid0_0,1,2015-10-12
Caserne 03 Grid0_0,1,2015-10-22
Caserne 03 Grid0_0,2,2015-10-27
Caserne 03 Grid0_0,1,2015-10-30
Caserne 03 Grid0_0,1,2015-11-18
Caserne 03 Grid0_0,1,2015-11-30
Caserne 03 Grid0_0,1,2015-12-08
Caserne 03 Grid0_0,1,2015-12-16
Caserne 03 Grid0_0,1,2016-01-03
Caserne 03 Grid0_0,1,2016-01-08
Caserne 03 Grid0_0,1,2016-01-18
Caserne 03 Grid0_0,1,2016-01-27
Caserne 03 Grid0_0,1,2016-02-20
Caserne 03 Grid0_0,1,2016-02-24
Caserne 03 Grid0_0,1,2016-03-04
Caserne 03 Grid0_0,1,2016-03-08
Caserne 03 Grid0_0,1,2016-03-12
Caserne 03 Grid0_0,1,2016-04-15
Caserne 03 Grid0_0,1,2016-04-27
Caserne 03 Grid0_0,1,2016-05-01
Caserne 03 Grid0_0,1,2016-05-05
Caserne 03 Grid0_0,1,2016-05-09
Caserne 03 Grid0_0,1,2016-06-03
Caserne 03 Grid0_0,1,2016-06-19
Caserne 03 Grid0_0,1,2016-08-09
Caserne 03 Grid0_0,1,2016-08-12
Caserne 03 Grid0_0,1,2016-08-14
Caserne 03 Grid0_0,1,2016-09-09
Caserne 03 Grid0_0,1,2016-11-10
Caserne 03 Grid0_0,1,2016-12-12
Caserne 03 Grid0_0,1,2016-12-16
Caserne 03 Grid0_0,1,2016-12-25
Caserne 03 Grid0_0,1,2017-01-02
Caserne 03 Grid0_0,1,2017-01-06
Caserne 03 Grid0_0,1,2017-01-12
Caserne 03 Grid0_0,1,2017-01-19
Caserne 03 Grid0_0,1,2017-01-21
Caserne 03 Grid0_0,1,2017-02-02
Caserne 03 Grid0_0,1,2017-02-06
Caserne 03 Grid0_0,1,2017-02-25
Caserne 03 Grid0_0,1,2017-03-20
Caserne 03 Grid0_0,1,2017-03-24
Caserne 03 Grid0_0,2,2017-04-10
Caserne 03 Grid0_0,1,2017-05-05
Caserne 03 Grid0_0,1,2017-06-03
Caserne 03 Grid0_0,1,2017-06-07
Caserne 03 Grid0_0,1,2017-06-11
Caserne 03 Grid0_0,1,2017-06-20
Caserne 03 Grid0_0,1,2017-06-21
Caserne 03 Grid0_0,1,2017-07-27
